品牌,车系,排量与年份,机滤,空调滤,空气滤,机油,,,
奥迪(一汽),Q3,2013.10-2015 - 1.4 TFSI,马勒 ￥20.0,三效空调滤清器 ￥79.0,曼牌 Mann ￥69.0,壳牌 灰喜力ULTRA 5W-40 ￥380.0,,,
,,,,四效空调滤清器 ￥129.0,,美孚 美孚1号 0W-40 ￥368.0,,,
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥328.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥368.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥209.0,,,
,,"2.0TFSI
- 2012-2014 - 2.0TFSI",马勒 ￥59.0,三效空调滤清器 ￥79.0,马勒 ￥29.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,,
,,,汉格斯特 Hengst ￥74.0,四效空调滤清器 ￥129.0,汉格斯特 Hengst ￥34.0,美孚 美孚1号 0W-40 ￥460.0,,,
,,,曼牌 Mann ￥89.0,,曼牌 Mann ￥99.0,嘉实多 极护 SN 0W-40 ￥482.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,,
,A3,2014.3-2015 - 1.4 TFSI,马勒 ￥49.0,三效空调滤清器 ￥49.0,曼牌 Mann ￥43.0,壳牌 灰喜力ULTRA 5W-40 ￥380.0,,,
,,,曼牌 Mann ￥80.0,,,美孚 美孚1号 0W-40 ￥368.0,,,
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥328.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥368.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥209.0,,,
,,2014.3-2015 - 1.8 TFSI,马勒 ￥59.0,三效空调滤清器 ￥49.0,曼牌 Mann ￥43.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,,
,,,,,,美孚 美孚1号 0W-40 ￥460.0,,,
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,,
,,"（三厢）
- 2014.9-2015 - 1.4 TFSI",马勒 ￥20.0,三效空调滤清器 ￥49.0,曼牌 Mann ￥69.0,壳牌 蓝喜力HX7 5W-40 ￥209.0,,,
,,,,,,壳牌 灰喜力ULTRA 5W-40 ￥380.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥368.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥328.0,,,
,,,,,,美孚 美孚1号 0W-40 ￥368.0,,,
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0,,,
,A4,2005.07-2008.09 - 1.8T (B7),马勒 ￥59.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥65.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,,
,,,汉格斯特 Hengst ￥42.0,,,美孚 美孚1号 0W-40 ￥460.0,,,
,,,曼牌 Mann ￥58.0,,,嘉实多 极护 SN 0W-40 ￥482.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,,
,,2003.02-2004.04 - 1.8T (B6),马勒 ￥26.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥65.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,,
,,,汉格斯特 Hengst ￥49.0,,,美孚 美孚1号 0W-40 ￥460.0,,,
,,,冠军 ￥48.0,,,嘉实多 极护 SN 0W-40 ￥482.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,,
,,2004.04-2005.07 - 1.8T (B6),马勒 ￥59.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥65.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,,
,,,汉格斯特 Hengst ￥42.0,,,美孚 美孚1号 0W-40 ￥460.0,,,
,,,曼牌 Mann ￥58.0,,,嘉实多 极护 SN 0W-40 ￥482.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,,
,,2005.07-2008.09 - 2.0T,马勒 ￥50.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥49.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,,
,,,曼牌 Mann ￥89.0,,曼牌 Mann ￥65.0,美孚 美孚1号 0W-40 ￥460.0,,,
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,,
,,2004.01-2005.07 - 2.4L (B6),马勒 ￥49.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥65.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,,
,,,汉格斯特 Hengst ￥58.0,,,美孚 美孚1号 0W-40 ￥644.0,,,
,,,曼牌 Mann ￥65.0,,,嘉实多 极护 SN 0W-40 ￥694.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,,
,,2003.02-2005.07 - 3.0L (B6),马勒 ￥49.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥49.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,,
,,,汉格斯特 Hengst ￥58.0,,曼牌 Mann ￥65.0,美孚 美孚1号 0W-40 ￥644.0,,,
,,,曼牌 Mann ￥65.0,,,嘉实多 极护 SN 0W-40 ￥694.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,,
,,2005.07-2008.09 - 3.0L,马勒 ￥49.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥49.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,,
,,,汉格斯特 Hengst ￥58.0,,曼牌 Mann ￥65.0,美孚 美孚1号 0W-40 ￥644.0,,,
,,,曼牌 Mann ￥65.0,,,嘉实多 极护 SN 0W-40 ￥694.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,,
,A4L,2007.12-2008.09 - 2.0TFSI,马勒 ￥59.0,三效空调滤清器 ￥29.0,汉格斯特 Hengst ￥81.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,,
,,,汉格斯特 Hengst ￥74.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥115.0,美孚 美孚1号 0W-40 ￥460.0,,,
,,,曼牌 Mann ￥89.0,四效空调滤清器 ￥129.0,,嘉实多 极护 SN 0W-40 ￥482.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,,
,,2008.11-2014 - 2.0TFSI,马勒 ￥59.0,三效空调滤清器 ￥29.0,汉格斯特 Hengst ￥81.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,,
,,,汉格斯特 Hengst ￥74.0,四效空调滤清器 ￥129.0,曼牌 Mann ￥115.0,美孚 美孚1号 0W-40 ￥460.0,,,
,,,曼牌 Mann ￥89.0,三效空调滤清器 ￥119.0,,嘉实多 极护 SN 0W-40 ￥482.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,,
,,2012.06--2014 - 2.0TFSI,马勒 ￥59.0,三效空调滤清器 ￥29.0,汉格斯特 Hengst ￥81.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,,
,,,汉格斯特 Hengst ￥74.0,四效空调滤清器 ￥129.0,曼牌 Mann ￥115.0,美孚 美孚1号 0W-40 ￥460.0,,,
,,,曼牌 Mann ￥89.0,三效空调滤清器 ￥119.0,,嘉实多 极护 SN 0W-40 ￥482.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,,
,,2012.08-2014 - 2.0TFSI,马勒 ￥59.0,三效空调滤清器 ￥29.0,汉格斯特 Hengst ￥81.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,,
,,,汉格斯特 Hengst ￥74.0,四效空调滤清器 ￥129.0,曼牌 Mann ￥115.0,美孚 美孚1号 0W-40 ￥460.0,,,
,,,曼牌 Mann ￥89.0,三效空调滤清器 ￥119.0,,嘉实多 极护 SN 0W-40 ￥482.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,,
,,2009.08-2014 - 1.8 TFSI (B8),马勒 ￥59.0,三效空调滤清器 ￥29.0,汉格斯特 Hengst ￥81.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,,
,,,汉格斯特 Hengst ￥74.0,四效空调滤清器 ￥129.0,曼牌 Mann ￥115.0,美孚 美孚1号 0W-40 ￥460.0,,,
,,,曼牌 Mann ￥89.0,三效空调滤清器 ￥119.0,,嘉实多 极护 SN 0W-40 ￥482.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,,
,,2009.01-2014 - 3.2 FSI quattro (B8),马勒 ￥33.0,三效空调滤清器 ￥29.0,,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,,
,,,汉格斯特 Hengst ￥68.0,四效空调滤清器 ￥129.0,,美孚 美孚1号 0W-40 ￥644.0,,,
,,,曼牌 Mann ￥95.0,三效空调滤清器 ￥119.0,,嘉实多 极护 SN 0W-40 ￥694.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,,
,,2012.08-2014 - 1.8 30 TFSI,马勒 ￥59.0,三效空调滤清器 ￥29.0,汉格斯特 Hengst ￥81.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,,
,,,汉格斯特 Hengst ￥74.0,四效空调滤清器 ￥129.0,曼牌 Mann ￥115.0,美孚 美孚1号 0W-40 ￥460.0,,,
,,,曼牌 Mann ￥89.0,三效空调滤清器 ￥119.0,,嘉实多 极护 SN 0W-40 ￥482.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,,
,,2012.08-2014 - 3.0TFSI,马勒 ￥33.0,三效空调滤清器 ￥29.0,,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,,
,,,马勒 ￥59.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥644.0,,,
,,,汉格斯特 Hengst ￥68.0,四效空调滤清器 ￥129.0,,嘉实多 极护 SN 0W-40 ￥694.0,,,
,,,曼牌 Mann ￥95.0,,,嘉实多 磁护 SN 5W-40 ￥512.0,,,
,,,曼牌 Mann ￥89.0,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,,
,A6,2000.01-2005.12 - 1.8T,马勒 ￥26.0,三效空调滤清器 ￥119.0,马勒 ￥28.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,,
,,,汉格斯特 Hengst ￥49.0,,汉格斯特 Hengst ￥45.0,美孚 美孚1号 0W-40 ￥460.0,,,
,,,冠军 ￥48.0,,曼牌 Mann ￥52.0,嘉实多 极护 SN 0W-40 ￥482.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,,
,,2001.10-2005.12 - 2.4L,马勒 ￥49.0,三效空调滤清器 ￥119.0,马勒 ￥28.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,,
,,,汉格斯特 Hengst ￥58.0,,汉格斯特 Hengst ￥45.0,美孚 美孚1号 0W-40 ￥644.0,,,
,,,曼牌 Mann ￥65.0,,曼牌 Mann ￥52.0,嘉实多 极护 SN 0W-40 ￥694.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,,
,,2000.09-2005.07 - 2.8L,马勒 ￥49.0,三效空调滤清器 ￥119.0,马勒 ￥28.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,,
,,,汉格斯特 Hengst ￥58.0,,汉格斯特 Hengst ￥45.0,美孚 美孚1号 0W-40 ￥644.0,,,
,,,曼牌 Mann ￥65.0,,曼牌 Mann ￥52.0,嘉实多 极护 SN 0W-40 ￥694.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,,
,A6L,2014.01-2015 - 2.0T,曼牌 Mann ￥89.0,三效空调滤清器 ￥119.0,马勒 ￥69.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,,
,,,,,,美孚 美孚1号 0W-40 ￥460.0,,,
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,,
,,2005.09-2012.2 - 2.0 TFSI,马勒 ￥50.0,三效空调滤清器 ￥29.0,马勒 ￥128.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,,
,,,汉格斯特 Hengst ￥56.0,四效空调滤清器 ￥189.0,汉格斯特 Hengst ￥71.0,美孚 美孚1号 0W-40 ￥460.0,,,
,,,曼牌 Mann ￥89.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥128.0,嘉实多 极护 SN 0W-40 ￥482.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,,
,,2005.03-2011.12 - 2.4L,马勒 ￥33.0,三效空调滤清器 ￥29.0,汉格斯特 Hengst ￥84.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,,
,,,汉格斯特 Hengst ￥68.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥112.0,美孚 美孚1号 0W-40 ￥644.0,,,
,,,曼牌 Mann ￥95.0,四效空调滤清器 ￥189.0,,嘉实多 极护 SN 0W-40 ￥694.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,,
,,2007.11-2011.12 - 2.8 FSI,马勒 ￥33.0,三效空调滤清器 ￥29.0,汉格斯特 Hengst ￥84.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,,
,,,汉格斯特 Hengst ￥68.0,四效空调滤清器 ￥189.0,曼牌 Mann ￥112.0,美孚 美孚1号 0W-40 ￥644.0,,,
,,,曼牌 Mann ￥95.0,三效空调滤清器 ￥119.0,,嘉实多 极护 SN 0W-40 ￥694.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,,
,,2009.01-2014 - 3.0 TFSI quattro,马勒 ￥33.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥84.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,,
,,,汉格斯特 Hengst ￥68.0,三效空调滤清器 ￥29.0,曼牌 Mann ￥112.0,美孚 美孚1号 0W-40 ￥644.0,,,
,,,曼牌 Mann ￥95.0,四效空调滤清器 ￥189.0,,嘉实多 极护 SN 0W-40 ￥694.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,,
,,2005.03-2006.12 - 3.0L,马勒 ￥49.0,三效空调滤清器 ￥29.0,汉格斯特 Hengst ￥84.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,,
,,,汉格斯特 Hengst ￥58.0,四效空调滤清器 ￥189.0,曼牌 Mann ￥112.0,美孚 美孚1号 0W-40 ￥644.0,,,
,,,曼牌 Mann ￥65.0,三效空调滤清器 ￥119.0,,嘉实多 极护 SN 0W-40 ￥694.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,,
,,2006.11-2008.10 - 3.2 FSI,马勒 ￥33.0,三效空调滤清器 ￥29.0,汉格斯特 Hengst ￥84.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,,
,,,汉格斯特 Hengst ￥68.0,四效空调滤清器 ￥189.0,曼牌 Mann ￥112.0,美孚 美孚1号 0W-40 ￥644.0,,,
,,,曼牌 Mann ￥95.0,三效空调滤清器 ￥119.0,,嘉实多 极护 SN 0W-40 ￥694.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,,
,,2005.09-2014 - 4.2 FSI,汉格斯特 Hengst ￥74.0,三效空调滤清器 ￥29.0,汉格斯特 Hengst ￥84.0,壳牌 灰喜力ULTRA 5W-40 ￥876.0,,,
,,,曼牌 Mann ￥196.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥112.0,美孚 美孚1号 0W-40 ￥828.0,,,
,,,,四效空调滤清器 ￥189.0,,嘉实多 极护 SN 0W-40 ￥858.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥584.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥736.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥831.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥491.0,,,
,,2012.03-2014 - 2.0TFSI,马勒 ￥59.0,三效空调滤清器 ￥39.0,汉格斯特 Hengst ￥119.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,,
,,,汉格斯特 Hengst ￥74.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥460.0,,,
,,,曼牌 Mann ￥89.0,,,嘉实多 极护 SN 0W-40 ￥482.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,,
,,2012.03-2014 - 2.5 30 FSI,马勒 ￥33.0,三效空调滤清器 ￥39.0,汉格斯特 Hengst ￥119.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,,
,,,汉格斯特 Hengst ￥68.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥159.0,美孚 美孚1号 0W-40 ￥644.0,,,
,,,曼牌 Mann ￥95.0,,,嘉实多 极护 SN 0W-40 ￥694.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,,
,,2012.03-2014 - 2.8 35 FSI,马勒 ￥33.0,三效空调滤清器 ￥39.0,汉格斯特 Hengst ￥84.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,,
,,,汉格斯特 Hengst ￥68.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥112.0,美孚 美孚1号 0W-40 ￥644.0,,,
,,,曼牌 Mann ￥95.0,,,嘉实多 极护 SN 0W-40 ￥694.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,,
,,2012.03-2014 - 3.0TFSI,马勒 ￥33.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥84.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,,
,,,汉格斯特 Hengst ￥68.0,三效空调滤清器 ￥39.0,曼牌 Mann ￥112.0,美孚 美孚1号 0W-40 ￥644.0,,,
,,,曼牌 Mann ￥95.0,,,嘉实多 极护 SN 0W-40 ￥694.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,,
,Q5,2010.03-2013.04 - 2.0 TFSI,马勒 ￥59.0,三效空调滤清器 ￥29.0,汉格斯特 Hengst ￥81.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,,
,,,汉格斯特 Hengst ￥74.0,四效空调滤清器 ￥129.0,曼牌 Mann ￥115.0,美孚 美孚1号 0W-40 ￥460.0,,,
,,,曼牌 Mann ￥89.0,三效空调滤清器 ￥119.0,,嘉实多 极护 SN 0W-40 ￥482.0,,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,,