品牌,车系,排量与年份,机滤,空调滤,空气滤,机油,,
奥迪（进口）,A8L,2012.02-2014 - 2.0L,,三效空调滤清器 ￥119.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,
,,,,,,美孚 美孚1号 0W-40 ￥460.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,
,,2010.11-2014 - 3.0 TFSI,汉格斯特 Hengst ￥68.0,三效空调滤清器 ￥119.0,,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,
,,,曼牌 Mann ￥95.0,,,美孚 美孚1号 0W-40 ￥644.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥694.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,
,,2012.09-2014 - 4.0TFSI,,三效空调滤清器 ￥119.0,,壳牌 灰喜力ULTRA 5W-40 ￥760.0,,
,,,,,,美孚 美孚1号 0W-40 ￥736.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥752.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥496.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥656.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥736.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥418.0,,
,,2012.09-2014 - 4.2 FSI,,三效空调滤清器 ￥119.0,,壳牌 灰喜力ULTRA 5W-40 ￥876.0,,
,,,,,,美孚 美孚1号 0W-40 ￥828.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥858.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥584.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥736.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥831.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥491.0,,
,,2012.07-2014 - 2.5FSI,,三效空调滤清器 ￥119.0,,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,
,,,,,,美孚 美孚1号 0W-40 ￥644.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥694.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,
,S6,2012.04-2014 - 4.0TFSI,,三效空调滤清器 ￥119.0,曼牌 Mann ￥159.0,壳牌 灰喜力ULTRA 5W-40 ￥992.0,,
,,,,,,美孚 美孚1号 0W-40 ￥920.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥964.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥672.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥816.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥926.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥564.0,,
,S5,"Sportback
- 2009-2012 - 3.0 TFSI",汉格斯特 Hengst ￥68.0,三效空调滤清器 ￥119.0,,美孚 美孚1号 0W-40 ￥644.0,,
,,,曼牌 Mann ￥95.0,三效空调滤清器 ￥29.0,,嘉实多 极护 SN 0W-40 ￥694.0,,
,,,,四效空调滤清器 ￥129.0,,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,
,A1,2010.08-2014 - 1.2 TFSI,马勒 ￥49.0,三效空调滤清器 ￥49.0,,壳牌 灰喜力ULTRA 5W-40 ￥380.0,,
,,,曼牌 Mann ￥80.0,四效空调滤清器 ￥89.0,,美孚 美孚1号 0W-40 ￥368.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥328.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥368.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥209.0,,
,,2010.08-2014 - 1.4 TFSI,马勒 ￥49.0,三效空调滤清器 ￥49.0,,壳牌 灰喜力ULTRA 5W-40 ￥380.0,,
,,,汉格斯特 Hengst ￥86.0,四效空调滤清器 ￥89.0,,美孚 美孚1号 0W-40 ￥368.0,,
,,,曼牌 Mann ￥80.0,,,嘉实多 极护 SN 0W-40 ￥376.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥328.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥368.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥209.0,,
,A3,2008.07-2010.05 - 1.4 TFSI,马勒 ￥49.0,三效空调滤清器 ￥79.0,汉格斯特 Hengst ￥67.0,壳牌 灰喜力ULTRA 5W-40 ￥380.0,,
,,,汉格斯特 Hengst ￥60.0,四效空调滤清器 ￥129.0,曼牌 Mann ￥89.0,美孚 美孚1号 0W-40 ￥368.0,,
,,,曼牌 Mann ￥80.0,,,嘉实多 极护 SN 0W-40 ￥376.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥328.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥368.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥209.0,,
,,2010.06--2014 - 1.4 TFSI,马勒 ￥49.0,三效空调滤清器 ￥79.0,汉格斯特 Hengst ￥67.0,壳牌 灰喜力ULTRA 5W-40 ￥380.0,,
,,,曼牌 Mann ￥80.0,四效空调滤清器 ￥129.0,曼牌 Mann ￥89.0,美孚 美孚1号 0W-40 ￥368.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥328.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥368.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥209.0,,
,,2007.09-2008.06 - 1.4 TFSI,马勒 ￥30.0,三效空调滤清器 ￥79.0,汉格斯特 Hengst ￥67.0,壳牌 灰喜力ULTRA 5W-40 ￥380.0,,
,,,,四效空调滤清器 ￥129.0,曼牌 Mann ￥89.0,美孚 美孚1号 0W-40 ￥368.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥328.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥368.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥209.0,,
,,2012.11-2014 - 2.0TFSI,,三效空调滤清器 ￥79.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,
,,,,四效空调滤清器 ￥129.0,,美孚 美孚1号 0W-40 ￥460.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,
,,2003.05-2014 - 2.0 FSI,曼牌 Mann ￥89.0,三效空调滤清器 ￥79.0,,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,
,,,,四效空调滤清器 ￥129.0,,美孚 美孚1号 0W-40 ￥460.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,
,,2006.11-2014 - 1.8 TFSI,马勒 ￥59.0,三效空调滤清器 ￥79.0,马勒 ￥29.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,
,,,汉格斯特 Hengst ￥74.0,四效空调滤清器 ￥129.0,汉格斯特 Hengst ￥34.0,美孚 美孚1号 0W-40 ￥460.0,,
,,,曼牌 Mann ￥89.0,,曼牌 Mann ￥99.0,嘉实多 极护 SN 0W-40 ￥482.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,
,,2011.03-2014 - 2.5 TFSI,马勒 ￥50.0,三效空调滤清器 ￥79.0,曼牌 Mann ￥134.0,壳牌 灰喜力ULTRA 5W-40 ￥612.0,,
,,,汉格斯特 Hengst ￥56.0,四效空调滤清器 ￥129.0,,美孚 美孚1号 0W-40 ￥552.0,,
,,,曼牌 Mann ￥89.0,,,嘉实多 极护 SN 0W-40 ￥588.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥488.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥558.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥355.0,,
,,2003.09-2014 - 3.2 V6,汉格斯特 Hengst ￥54.0,三效空调滤清器 ￥79.0,曼牌 Mann ￥134.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,
,,,,四效空调滤清器 ￥129.0,,美孚 美孚1号 0W-40 ￥644.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥694.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,
,,"Sportback
- 2009.12-2014 - 1.2 TFSI",马勒 ￥49.0,三效空调滤清器 ￥79.0,,壳牌 灰喜力ULTRA 5W-40 ￥380.0,,
,,,曼牌 Mann ￥80.0,四效空调滤清器 ￥129.0,,美孚 美孚1号 0W-40 ￥368.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥328.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥368.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥209.0,,
,,"Cabriolet (敞篷)
- 2012.11-2015 - 2.0 TFSI",,,,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,
,,,,,,美孚 美孚1号 0W-40 ￥460.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,
,,"Sportback
- 2014.3-2015 - 1.8T",,三效空调滤清器 ￥49.0,,壳牌 灰喜力ULTRA 5W-40 ￥380.0,,
,,,,,,美孚 美孚1号 0W-40 ￥368.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥328.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥368.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥209.0,,
,A4,2000.11-2008.06 - 1.6L,汉格斯特 Hengst ￥49.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥49.0,壳牌 灰喜力ULTRA 5W-40 ￥380.0,,
,,,冠军 ￥48.0,,曼牌 Mann ￥65.0,美孚 美孚1号 0W-40 ￥368.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥376.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥248.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥328.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥368.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥209.0,,
,,2002.07-2004.12 - 1.8 T,曼牌 Mann ￥119.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥49.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,
,,,,,曼牌 Mann ￥65.0,美孚 美孚1号 0W-40 ￥460.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,
,,2002.11-2004.12 - 1.8 T,曼牌 Mann ￥119.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥49.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,
,,,,,曼牌 Mann ￥65.0,美孚 美孚1号 0W-40 ￥460.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,
,,2000.11-2014 - 2.0L,汉格斯特 Hengst ￥49.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥49.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,
,,,冠军 ￥48.0,,曼牌 Mann ￥65.0,美孚 美孚1号 0W-40 ￥460.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,
,,2002.07-2004.12 - 2.0 FSI,汉格斯特 Hengst ￥49.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥49.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,
,,,冠军 ￥48.0,,曼牌 Mann ￥65.0,美孚 美孚1号 0W-40 ￥460.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,
,,2004.11-2014 - 2.0 TFSI,马勒 ￥50.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥49.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,
,,,曼牌 Mann ￥89.0,,曼牌 Mann ￥65.0,美孚 美孚1号 0W-40 ￥460.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥482.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,
,,2008.06-2014 - 2.0 TFSI,曼牌 Mann ￥89.0,三效空调滤清器 ￥29.0,汉格斯特 Hengst ￥81.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,
,,,,四效空调滤清器 ￥129.0,曼牌 Mann ￥115.0,美孚 美孚1号 0W-40 ￥460.0,,
,,,,三效空调滤清器 ￥119.0,,嘉实多 极护 SN 0W-40 ￥482.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,
,,2001.09-2008.06 - 2.4 V6,马勒 ￥49.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥49.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,
,,,汉格斯特 Hengst ￥58.0,,曼牌 Mann ￥65.0,美孚 美孚1号 0W-40 ￥644.0,,
,,,曼牌 Mann ￥65.0,,,嘉实多 极护 SN 0W-40 ￥694.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,
,,2001.04-2006.07 - 3.0 V6,马勒 ￥49.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥49.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,
,,,汉格斯特 Hengst ￥58.0,,曼牌 Mann ￥65.0,美孚 美孚1号 0W-40 ￥644.0,,
,,,曼牌 Mann ￥65.0,,,嘉实多 极护 SN 0W-40 ￥694.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,
