品牌,车系,排量与年份,机滤,空调滤,空气滤,机油,,
,,2010.10-2014 - 2.8 FSI,马勒 ￥33.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥159.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,
,,,汉格斯特 Hengst ￥68.0,,,美孚 美孚1号 0W-40 ￥644.0,,
,,,曼牌 Mann ￥95.0,,,嘉实多 极护 SN 0W-40 ￥694.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,
,,2011.01-2014 - 3.0 TFSI,马勒 ￥33.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥119.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,
,,,汉格斯特 Hengst ￥68.0,,曼牌 Mann ￥159.0,美孚 美孚1号 0W-40 ￥644.0,,
,,,曼牌 Mann ￥95.0,,,嘉实多 极护 SN 0W-40 ￥694.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,
,A8,2007.09-2010.07 - 2.8 FSI,马勒 ￥33.0,,曼牌 Mann ￥279.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,
,,,汉格斯特 Hengst ￥68.0,,,美孚 美孚1号 0W-40 ￥644.0,,
,,,曼牌 Mann ￥95.0,,,嘉实多 极护 SN 0W-40 ￥694.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,
,,2003.08-2014 - 3.0L,马勒 ￥49.0,,曼牌 Mann ￥279.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,
,,,汉格斯特 Hengst ￥58.0,,,美孚 美孚1号 0W-40 ￥644.0,,
,,,曼牌 Mann ￥65.0,,,嘉实多 极护 SN 0W-40 ￥694.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,
,,2002.10-2014 - 3.7L,汉格斯特 Hengst ￥74.0,,曼牌 Mann ￥279.0,壳牌 灰喜力ULTRA 5W-40 ￥760.0,,
,,,曼牌 Mann ￥196.0,,,美孚 美孚1号 0W-40 ￥736.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥752.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥496.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥656.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥736.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥418.0,,
,,2002.10-2014 - 4.2L,汉格斯特 Hengst ￥74.0,,曼牌 Mann ￥279.0,壳牌 灰喜力ULTRA 5W-40 ￥760.0,,
,,,曼牌 Mann ￥196.0,,,美孚 美孚1号 0W-40 ￥736.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥752.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥496.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥656.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥736.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥418.0,,
,,2006.06-2014 - 4.2 FSI,汉格斯特 Hengst ￥129.0,,曼牌 Mann ￥279.0,壳牌 灰喜力ULTRA 5W-40 ￥992.0,,
,,,,,,美孚 美孚1号 0W-40 ￥920.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥964.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥672.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥816.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥926.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥564.0,,
,,2010.03-2014 - 4.2 FSI,汉格斯特 Hengst ￥129.0,三效空调滤清器 ￥119.0,曼牌 Mann ￥0.0,壳牌 灰喜力ULTRA 5W-40 ￥760.0,,
,,,,,,美孚 美孚1号 0W-40 ￥736.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥752.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥496.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥656.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥736.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥418.0,,
,,2006.06-2014 - 5.2 V10,汉格斯特 Hengst ￥129.0,,曼牌 Mann ￥0.0,壳牌 灰喜力ULTRA 5W-40 ￥1108.0,,
,,,,,,美孚 美孚1号 0W-40 ￥1012.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥1070.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥760.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥896.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥1021.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥637.0,,
,,2003.12-2014 - 6.0 W12,汉格斯特 Hengst ￥79.0,,汉格斯特 Hengst ￥139.0,壳牌 灰喜力ULTRA 5W-40 ￥1256.0,,
,,,,,曼牌 Mann ￥0.0,美孚 美孚1号 0W-40 ￥1196.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥1234.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥832.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥1064.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥1199.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥700.0,,
,,2011.02-2014 - 3.0 TFSI,马勒 ￥33.0,三效空调滤清器 ￥119.0,,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,
,,,汉格斯特 Hengst ￥68.0,,,美孚 美孚1号 0W-40 ￥644.0,,
,,,曼牌 Mann ￥95.0,,,嘉实多 极护 SN 0W-40 ￥694.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,
,,2010.09-2014 - 6.3 FSI,,三效空调滤清器 ￥119.0,,壳牌 灰喜力ULTRA 5W-40 ￥1256.0,,
,,,,,,美孚 美孚1号 0W-40 ￥1196.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥1234.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥832.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥1064.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥1199.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥700.0,,
,Allroad,2000.05-2005.08 - 2.7 T V6,马勒 ￥49.0,三效空调滤清器 ￥119.0,马勒 ￥28.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,
,,,汉格斯特 Hengst ￥58.0,,汉格斯特 Hengst ￥45.0,美孚 美孚1号 0W-40 ￥460.0,,
,,,曼牌 Mann ￥65.0,,曼牌 Mann ￥52.0,嘉实多 极护 SN 0W-40 ￥482.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,
,Q3,2012.07-2014 - 2.0 TFSI,马勒 ￥59.0,三效空调滤清器 ￥79.0,马勒 ￥29.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,
,,,汉格斯特 Hengst ￥74.0,四效空调滤清器 ￥129.0,汉格斯特 Hengst ￥34.0,美孚 美孚1号 0W-40 ￥460.0,,
,,,曼牌 Mann ￥89.0,,曼牌 Mann ￥99.0,嘉实多 极护 SN 0W-40 ￥482.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,
,Q5,2013.04-2014 - 3.0 TFSI,马勒 ￥33.0,三效空调滤清器 ￥29.0,,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,
,,,汉格斯特 Hengst ￥68.0,四效空调滤清器 ￥129.0,,美孚 美孚1号 0W-40 ￥644.0,,
,,,曼牌 Mann ￥95.0,三效空调滤清器 ￥119.0,,嘉实多 极护 SN 0W-40 ￥694.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,
,,2008.11-2014 - 2.0 TFSI,马勒 ￥59.0,三效空调滤清器 ￥29.0,汉格斯特 Hengst ￥81.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,
,,,汉格斯特 Hengst ￥74.0,四效空调滤清器 ￥129.0,曼牌 Mann ￥115.0,美孚 美孚1号 0W-40 ￥460.0,,
,,,曼牌 Mann ￥89.0,三效空调滤清器 ￥119.0,,嘉实多 极护 SN 0W-40 ￥482.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,
,,2008.11-2013.04 - 3.2 FSI,马勒 ￥33.0,三效空调滤清器 ￥29.0,,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,
,,,汉格斯特 Hengst ￥68.0,四效空调滤清器 ￥129.0,,美孚 美孚1号 0W-40 ￥644.0,,
,,,曼牌 Mann ￥95.0,三效空调滤清器 ￥119.0,,嘉实多 极护 SN 0W-40 ￥694.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,
,Q7,2006.03-2010.12 - 4.2 FSI V8 quattro,汉格斯特 Hengst ￥129.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥115.0,壳牌 灰喜力ULTRA 5W-40 ￥760.0,,
,,,,,汉格斯特 Hengst ￥143.0,美孚 美孚1号 0W-40 ￥736.0,,
,,,,,曼牌 Mann ￥189.0,嘉实多 极护 SN 0W-40 ￥752.0,,
,,,,,曼牌 Mann ￥169.0,嘉实多 磁护 SN 5W-40 ￥496.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥656.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥736.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥418.0,,
,,2010.05-2014 - 3.0 TFSI,马勒 ￥33.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥143.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,
,,,汉格斯特 Hengst ￥68.0,,汉格斯特 Hengst ￥115.0,美孚 美孚1号 0W-40 ￥644.0,,
,,,曼牌 Mann ￥95.0,,曼牌 Mann ￥189.0,嘉实多 极护 SN 0W-40 ￥694.0,,
,,,,,曼牌 Mann ￥169.0,嘉实多 磁护 SN 5W-40 ￥512.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,
,,2006.09-2014 - 3.6 FSI,汉格斯特 Hengst ￥70.0,三效空调滤清器 ￥119.0,汉格斯特 Hengst ￥143.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,
,,,曼牌 Mann ￥168.0,,汉格斯特 Hengst ￥115.0,美孚 美孚1号 0W-40 ￥644.0,,
,,,,,曼牌 Mann ￥189.0,嘉实多 极护 SN 0W-40 ￥694.0,,
,,,,,曼牌 Mann ￥169.0,嘉实多 磁护 SN 5W-40 ￥512.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,
,TT,2005.03-2014 - 1.8 20V,马勒 ￥26.0,三效空调滤清器 ￥49.0,马勒 ￥36.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,
,,,汉格斯特 Hengst ￥49.0,四效空调滤清器 ￥89.0,曼牌 Mann ￥43.0,美孚 美孚1号 0W-40 ￥460.0,,
,,,冠军 ￥48.0,,,嘉实多 极护 SN 0W-40 ￥482.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,
,,1998.10-2014 - 1.8 20V Turbo,马勒 ￥26.0,三效空调滤清器 ￥49.0,马勒 ￥36.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,
,,,汉格斯特 Hengst ￥49.0,四效空调滤清器 ￥89.0,曼牌 Mann ￥43.0,美孚 美孚1号 0W-40 ￥460.0,,
,,,冠军 ￥48.0,,,嘉实多 极护 SN 0W-40 ￥482.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,
,,2001.01-2014 - 1.8 Turbo,马勒 ￥26.0,三效空调滤清器 ￥49.0,马勒 ￥36.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,
,,,汉格斯特 Hengst ￥49.0,四效空调滤清器 ￥89.0,曼牌 Mann ￥43.0,美孚 美孚1号 0W-40 ￥460.0,,
,,,冠军 ￥48.0,,,嘉实多 极护 SN 0W-40 ￥482.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,
,,2003.07-2014 - 3.2 VR6,汉格斯特 Hengst ￥54.0,三效空调滤清器 ￥49.0,马勒 ￥36.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,
,,,,四效空调滤清器 ￥89.0,曼牌 Mann ￥43.0,美孚 美孚1号 0W-40 ￥644.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥694.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,
,,2008.06-2014 - 1.8 TFSI,马勒 ￥59.0,三效空调滤清器 ￥79.0,马勒 ￥29.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,
,,,汉格斯特 Hengst ￥74.0,四效空调滤清器 ￥129.0,汉格斯特 Hengst ￥34.0,美孚 美孚1号 0W-40 ￥460.0,,
,,,曼牌 Mann ￥89.0,,曼牌 Mann ￥99.0,嘉实多 极护 SN 0W-40 ￥482.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,
,,2010.05-2014 - 2.0 TFSI,马勒 ￥59.0,三效空调滤清器 ￥79.0,马勒 ￥29.0,壳牌 灰喜力ULTRA 5W-40 ￥496.0,,
,,,汉格斯特 Hengst ￥74.0,四效空调滤清器 ￥129.0,汉格斯特 Hengst ￥34.0,美孚 美孚1号 0W-40 ￥460.0,,
,,,曼牌 Mann ￥89.0,,曼牌 Mann ￥99.0,嘉实多 极护 SN 0W-40 ￥482.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥336.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥408.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥463.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥282.0,,
,,2006.10-2014 - 3.2 V6,汉格斯特 Hengst ￥54.0,三效空调滤清器 ￥79.0,曼牌 Mann ￥134.0,壳牌 灰喜力ULTRA 5W-40 ￥728.0,,
,,,,四效空调滤清器 ￥129.0,,美孚 美孚1号 0W-40 ￥644.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥694.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥512.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥568.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥653.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥428.0,,
,,2006.08-2010.06 - 2.0TFSI,曼牌 Mann ￥89.0,三效空调滤清器 ￥79.0,,壳牌 灰喜力ULTRA 5W-40 ￥612.0,,
,,,,四效空调滤清器 ￥129.0,,美孚 美孚1号 0W-40 ￥552.0,,
,,,,,,嘉实多 极护 SN 0W-40 ￥588.0,,
,,,,,,嘉实多 磁护 SN 5W-40 ￥424.0,,
,,,,,,海湾 Gulf 金极润 SN 5W-40 ￥488.0,,
,,,,,,海湾 Gulf 金极润 SN 0W-40 ￥558.0,,
,,,,,,壳牌 蓝喜力HX7 5W-40 ￥355.0,,